Element,Association Direction,GPT shift 2,Biological Group,Group ID based on Biological Group,Notes (if any)
ENA-78,1,0,Chemokines,4,Mixed evidence
Eotaxin,1,0,Chemokines,4,Mixed evidence
GDF-15,1,0,Stress Response Factors,7,Mixed evidence
HSP70,1,0,Heat Shock Proteins,6,Mixed evidence
HSP70,1,X,Heat Shock Proteins,6,Information not available
IFN-Y,1,-1,T-cell Activation Cytokines,5,Decreases in healthy status
IL-12p40,1,-1,Pro-inflammatory Cytokines,1,Decreases in healthy status
IL-12p70,1,-1,Pro-inflammatory Cytokines,1,Decreases in healthy status
IL-15,1,1,T-cell Activation Cytokines,5,Increases in healthy status
IL-16,1,X,Cytokines,9,Information not available
IL-17A,-1,-1,Pro-inflammatory Cytokines,1,Decreases in healthy status
IL-1A,-1,-1,Pro-inflammatory Cytokines,1,Decreases in healthy status
IL-1B,-1,-1,Pro-inflammatory Cytokines,1,Decreases in healthy status
IL-2,1,,,,
IL-21,1,1,T-cell Activation Cytokines,5,Increases in healthy status
IL-23,1,-1,T-cell Activation Cytokines,5,Decreases in healthy status
IL-28A,1,X,Cytokines,9,Information not available
LIF,,X,Cytokines,9,Information not available
MCP-3,1,1,Chemokines,4,Increases in healthy status
MCP-4,1,X,Chemokines,4,Information not available
MIP-1B,1,1,Chemokines,4,Increases in healthy status
MIP-1D,1,X,Chemokines,4,Information not available
MMP-1,-1,0,Matrix Metalloproteinases,2,Mixed evidence
MMP-8,-1,-1,Matrix Metalloproteinases,2,Decreases in healthy status
OPG,1,1,Bone Resorption Factors,3,Increases in healthy status
RANKL,-1,-1,Bone Resorption Factors,3,Decreases in healthy status
RANTES,1,1,Chemokines,4,Increases in healthy status
SDF-1A,1,1,Chemokines,4,Increases in healthy status
SDF-1B,1,1,Chemokines,4,Increases in healthy status
TRAP5,-1,0,Bone Metabolism Markers,8,Mixed evidence
YKL-40,1,0,Stress Response Factors,7,Mixed evidence
sCD40L,1,,,,
