Element,GPT shift 1,GPT shift 2,Biological Group,Group ID based on Biological Group,Notes (if any),Observed Shift
APCs,1,1,Immune Cells,6,Associated with increased activity in gum disease.,-1
IL-10,-1,-1,Anti-inflammatory Cytokines,2,Typically decreases in active disease.,-1
IL-1B,1,1,Pro-inflammatory Cytokines,1,Commonly elevated in periodontitis.,1
IL-4,-1,,,,,1
IL-6,1,1,Pro-inflammatory Cytokines,1,Often reported to increase.,1
MCP-1,1,1,Chemokines,5,Often increases in inflammatory conditions.,1
MIP-1D,0,1,Chemokines,5,Typically elevated during inflammation.,-1
MNPs,1,1,Immune Cells,6,Generally elevated in response to infection.,1
Porphyromonas gingivalis,1,1,Periodontal Pathogens,4,Key pathogen in periodontitis.,1
Tannerella forsythia,1,1,Periodontal Pathogens,4,Frequently co-occurs with other periodontal pathogens.,1
Th17,1,1,T-helper Cell Subtypes,3,Associated with increased inflammation.,-1
Treponema denticola,1,1,Periodontal Pathogens,4,Often found in conjunction with P. gingivalis.,1
